Reaction,Parameter,Values,Units
,Temp,320,K
,Pressure,1.00E-08,bar
,Gas Const,8.31446,JK^-1mol^-1
r1,k1f,2.00E+00,-
,k1r,6.65E-09,-
r2,k2f,2.31E+02,-
,k2r,1.15E+05,-
r3,k3f,6.13E+08,-
,k3r,2.14E-02,-
r4,k4f,2.85E-06,-
,k4r,5.00E+02,-
